Servant,Rarity,Class,S2,S3,S4,S5,S6,S7,S8,S9,S10,A2,A3,A4,A5,A6,A7,A8,A9,A10
玛修·基列莱特,4,Shielder,"{'英雄之证': 5, 'QP': 50000}","{'龙之牙': 5, 'QP': 100000}","{'世界树之种': 5, 'QP': 300000}","{'八连双晶': 5, 'QP': 400000}","{'虚影之尘': 5, 'QP': 1000000}","{'无间齿轮': 5, 'QP': 1250000}","{'凤凰羽毛': 5, 'QP': 2500000}","{'龙之逆鳞': 5, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'英雄之证': 5, 'QP': 50000}","{'龙之牙': 5, 'QP': 100000}","{'世界树之种': 5, 'QP': 300000}","{'八连双晶': 5, 'QP': 400000}","{'大骑士勋章': 5, 'QP': 1000000}","{'起源的胎毛': 5, 'QP': 1250000}","{'精灵根': 5, 'QP': 2500000}","{'智慧之圣甲虫像': 5, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
阿尔托莉雅·潘德拉贡,5,Saber,"{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '英雄之证': 15, 'QP': 1600000}","{'剑之秘石': 5, '英雄之证': 29, 'QP': 4000000}","{'剑之秘石': 12, '龙之牙': 12, 'QP': 5000000}","{'龙之牙': 24, '混沌之爪': 4, 'QP': 10000000}","{'混沌之爪': 11, '龙之逆鳞': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '无间齿轮': 5, 'QP': 1600000}","{'剑之秘石': 5, '无间齿轮': 10, 'QP': 4000000}","{'剑之秘石': 12, '大骑士勋章': 10, 'QP': 5000000}","{'大骑士勋章': 20, '极光之钢': 6, 'QP': 10000000}","{'极光之钢': 18, '鬼炎鬼灯': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
阿尔托莉雅·潘德拉贡〔Alter〕,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '混沌之爪': 3, 'QP': 800000}","{'剑之秘石': 4, '混沌之爪': 5, 'QP': 2000000}","{'剑之秘石': 10, '龙之牙': 10, 'QP': 2500000}","{'龙之牙': 20, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 30, '蛮神心脏': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '愚者之锁': 12, 'QP': 800000}","{'剑之秘石': 4, '愚者之锁': 24, 'QP': 2000000}","{'剑之秘石': 10, '血之泪石': 3, 'QP': 2500000}","{'血之泪石': 5, '咒兽胆石': 2, 'QP': 5000000}","{'咒兽胆石': 6, '龙之逆鳞': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
阿尔托莉雅·潘德拉贡〔Lily〕,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '龙之牙': 10, 'QP': 800000}","{'剑之秘石': 4, '龙之牙': 20, 'QP': 2000000}","{'剑之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '混沌之爪': 3, 'QP': 5000000}","{'混沌之爪': 9, '龙之逆鳞': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'剑之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'剑之秘石': 10, '追忆的贝壳': 4, 'QP': 2500000}","{'追忆的贝壳': 8, '大骑士勋章': 10, 'QP': 5000000}","{'大骑士勋章': 30, '真理之卵': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
尼禄·克劳狄乌斯,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '凤凰羽毛': 4, 'QP': 800000}","{'剑之秘石': 4, '凤凰羽毛': 7, 'QP': 2000000}","{'剑之秘石': 10, '八连双晶': 4, 'QP': 2500000}","{'八连双晶': 8, '龙之牙': 12, 'QP': 5000000}","{'龙之牙': 36, '无间齿轮': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'剑之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'剑之秘石': 10, '精灵根': 2, 'QP': 2500000}","{'精灵根': 4, '光银之冠': 5, 'QP': 5000000}","{'光银之冠': 15, '煌星碎片': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
齐格飞,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'剑之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'剑之秘石': 10, '龙之牙': 10, 'QP': 2500000}","{'龙之牙': 20, '蛮神心脏': 2, 'QP': 5000000}","{'蛮神心脏': 6, '龙之逆鳞': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'剑之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'剑之秘石': 10, '万死的毒针': 10, 'QP': 2500000}","{'万死的毒针': 20, '真理之卵': 2, 'QP': 5000000}","{'真理之卵': 6, '光银之冠': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
盖乌斯·尤利乌斯·恺撒,3,Saber,"{'剑之辉石': 4, 'QP': 50000}","{'剑之辉石': 8, 'QP': 100000}","{'剑之魔石': 4, 'QP': 300000}","{'剑之魔石': 8, '无间齿轮': 4, 'QP': 400000}","{'剑之秘石': 4, '无间齿轮': 7, 'QP': 1000000}","{'剑之秘石': 8, '英雄之证': 10, 'QP': 1250000}","{'英雄之证': 20, '陨蹄铁': 4, 'QP': 2500000}","{'陨蹄铁': 12, '混沌之爪': 10, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'剑之辉石': 4, 'QP': 50000}","{'剑之辉石': 8, 'QP': 100000}","{'剑之魔石': 4, 'QP': 300000}","{'剑之魔石': 8, '禁断书页': 4, 'QP': 400000}","{'剑之秘石': 4, '禁断书页': 7, 'QP': 1000000}","{'剑之秘石': 8, '蛇之宝玉': 3, 'QP': 1250000}","{'蛇之宝玉': 6, '封魔之灯': 3, 'QP': 2500000}","{'封魔之灯': 8, '智慧之圣甲虫像': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
阿蒂拉,5,Saber,"{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '混沌之爪': 3, 'QP': 1600000}","{'剑之秘石': 5, '混沌之爪': 6, 'QP': 4000000}","{'剑之秘石': 12, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 20, '凶骨': 18, 'QP': 10000000}","{'凶骨': 54, '蛮神心脏': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '英雄之证': 15, 'QP': 1600000}","{'剑之秘石': 5, '英雄之证': 29, 'QP': 4000000}","{'剑之秘石': 12, '陨蹄铁': 5, 'QP': 5000000}","{'陨蹄铁': 10, '巨人的戒指': 6, 'QP': 10000000}","{'巨人的戒指': 18, '煌星碎片': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
吉尔·德·雷,3,Saber,"{'剑之辉石': 4, 'QP': 50000}","{'剑之辉石': 8, 'QP': 100000}","{'剑之魔石': 4, 'QP': 300000}","{'剑之魔石': 8, '虚影之尘': 7, 'QP': 400000}","{'剑之秘石': 4, '虚影之尘': 13, 'QP': 1000000}","{'剑之秘石': 8, '英雄之证': 10, 'QP': 1250000}","{'英雄之证': 20, '鬼魂提灯': 4, 'QP': 2500000}","{'鬼魂提灯': 12, '蛮神心脏': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'剑之辉石': 4, 'QP': 50000}","{'剑之辉石': 8, 'QP': 100000}","{'剑之魔石': 4, 'QP': 300000}","{'剑之魔石': 8, '凶骨': 10, 'QP': 400000}","{'剑之秘石': 4, '凶骨': 20, 'QP': 1000000}","{'剑之秘石': 8, '大骑士勋章': 7, 'QP': 1250000}","{'大骑士勋章': 13, '血之泪石': 3, 'QP': 2500000}","{'血之泪石': 8, '咒兽胆石': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
骑士迪昂,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'剑之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'剑之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '禁断书页': 5, 'QP': 5000000}","{'禁断书页': 15, '蛇之宝玉': 16, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '人工生命体幼体': 4, 'QP': 800000}","{'剑之秘石': 4, '人工生命体幼体': 8, 'QP': 2000000}","{'剑之秘石': 10, '智慧之圣甲虫像': 2, 'QP': 2500000}","{'智慧之圣甲虫像': 4, '九十九镜': 2, 'QP': 5000000}","{'九十九镜': 6, '梦幻的鳞粉': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
